file_id,prediction
1,white
3,black
5,white
6,white
7,black
8,white
9,white
10,white
11,white
12,white
13,white
14,white
15,black
16,white
17,white
18,white
19,black
20,white
21,white
22,white
23,white
24,black
25,white
27,white
28,white
29,black
31,white
32,white
33,white
34,white
35,white
36,white
37,white
38,black
39,white
40,white
41,black
42,white
43,black
44,white
45,white
46,black
47,white
48,white
49,white
50,white
51,white
52,white
53,white
55,black
56,white
57,white
58,white
59,white
61,black
62,white
63,white
64,black
65,white
66,white
67,white
69,white
70,white
71,white
72,black
73,white
74,black
75,white
76,white
77,white
78,white
79,white
80,white
81,black
82,black
84,white
85,white
86,white
87,white
89,white
90,white
92,white
93,white
94,white
95,black
96,white
98,white
99,white
100,black
101,white
102,black
103,white
104,white
105,black
106,white
107,white
108,white
109,white
110,white
111,white
112,white
113,white
114,white
115,white
116,white
117,white
119,white
121,black
123,white
124,white
125,white
126,white
127,white
128,white
130,black
131,white
133,white
134,black
135,white
136,white
137,white
138,white
139,white
140,white
142,white
143,white
144,black
145,white
147,white
148,white
149,white
150,black
151,white
153,white
154,white
155,black
156,white
157,white
158,white
159,white
160,white
161,white
162,black
163,white
164,white
165,white
166,white
167,white
168,white
169,white
170,black
171,white
172,white
173,white
174,black
175,white
176,white
177,white
178,black
179,white
180,white
181,white
182,white
183,white
184,white
185,white
186,white
187,white
188,white
189,black
190,white
192,black
193,white
194,white
195,white
196,black
197,white
198,white
199,white
200,black
201,white
202,white
203,white
204,white
206,white
207,white
208,white
209,black
210,white
212,black
213,black
214,white
215,white
216,white
218,white
219,white
220,white
221,white
222,white
224,white
225,white
226,white
227,white
228,white
229,black
230,white
231,white
232,white
233,white
234,white
236,white
237,white
238,white
239,white
240,white
241,white
242,white
243,white
244,white
245,white
246,white
247,white
248,black
249,white
250,white
251,white
252,white
253,black
254,white
256,white
257,white
258,black
259,white
260,white
261,white
263,white
264,black
265,black
266,white
267,white
268,white
269,black
271,white
272,white
273,white
274,black
275,black
276,white
277,white
279,white
280,white
281,white
282,black
283,white
284,white
285,white
287,white
288,white
289,white
290,white
291,white
292,white
293,white
294,white
295,white
296,white
297,white
298,white
299,white
300,white
301,white
302,white
303,white
304,white
305,white
306,white
307,white
308,white
309,white
310,white
311,white
313,white
314,white
315,black
317,white
319,black
320,white
321,white
322,white
323,black
324,white
325,white
326,white
327,black
328,white
329,white
330,white
331,white
332,white
333,white
334,white
335,white
336,black
337,white
338,white
339,black
340,white
341,black
342,white
343,white
345,white
346,white
348,white
349,white
350,white
351,white
352,white
353,white
354,white
355,white
356,white
357,white
358,white
359,white
360,white
361,white
362,white
363,white
364,white
365,white
366,white
367,white
368,white
369,white
370,white
371,white
372,white
373,black
374,white
375,white
376,white
377,black
378,white
379,white
380,white
382,white
383,black
384,white
385,white
386,white
387,white
390,white
392,white
393,white
394,white
395,black
396,black
397,white
398,white
400,white
401,white
402,white
403,black
404,black
405,white
406,black
407,white
408,white
409,white
410,white
411,black
413,white
414,white
415,white
416,white
417,white
418,white
419,white
420,white
421,white
422,white
423,white
424,white
425,black
427,black
429,white
430,white
431,black
432,white
433,white
434,white
435,white
436,black
439,white
440,white
442,white
444,white
445,white
447,white
448,white
449,white
450,white
451,white
452,white
453,white
454,white
455,white
457,white
458,white
459,white
460,white
462,white
463,white
464,white
465,white
466,white
467,black
468,white
469,white
470,white
471,white
472,white
473,white
474,black
475,black
477,white
478,black
479,black
480,white
481,white
482,black
483,white
484,white
485,white
486,white
487,white
488,white
489,white
490,white
491,white
492,white
493,white
494,white
495,white
496,white
497,white
499,white
500,white
501,white
502,white
503,black
504,white
505,white
506,white
507,white
508,white
509,white
510,white
512,white
513,white
514,white
515,black
516,white
517,black
518,white
519,white
520,white
521,white
522,white
523,white
524,white
525,white
526,white
527,white
528,white
529,white
531,white
532,white
533,white
534,white
535,white
537,white
538,white
539,white
540,white
541,white
542,white
543,white
544,black
549,black
550,white
552,white
553,white
554,white
555,white
556,white
557,white
558,white
559,black
560,white
561,white
562,white
563,white
564,white
565,white
567,white
568,white
569,white
570,white
571,white
572,white
573,black
574,black
575,white
576,white
577,white
578,white
580,black
581,black
583,white
584,white
585,white
586,white
587,white
588,black
589,black
590,white
592,white
593,black
594,black
595,white
596,white
597,black
598,white
599,white
602,black
603,white
604,white
605,black
606,black
607,black
608,white
609,white
610,black
611,white
613,white
614,white
615,white
616,black
618,white
619,white
620,white
621,white
622,black
623,white
624,white
625,white
626,white
627,white
628,black
629,black
630,white
631,white
632,black
634,white
635,white
636,white
637,white
638,white
639,white
640,white
643,white
644,white
645,white
646,white
647,white
648,white
649,white
650,white
651,black
652,white
653,white
654,white
655,white
656,white
657,white
659,white
660,white
661,white
662,white
663,white
664,white
665,white
666,white
667,white
668,black
669,white
670,white
671,white
672,black
673,white
674,white
675,white
676,black
677,white
678,white
679,white
680,white
681,white
682,white
683,black
684,white
685,black
686,white
687,white
688,white
692,black
693,white
694,black
695,white
696,black
697,white
698,white
699,white
701,white
702,white
704,white
705,white
706,white
707,white
708,black
709,white
710,white
711,white
712,black
713,white
714,white
715,white
716,white
717,black
720,white
721,white
722,black
723,white
724,white
725,white
726,white
727,white
728,white
729,black
730,white
731,white
732,white
733,white
734,white
735,white
737,white
738,white
739,white
740,white
741,white
742,white
743,white
744,black
745,white
746,white
747,white
748,white
750,black
751,white
752,white
753,white
754,white
755,white
756,black
757,white
758,white
761,black
762,white
763,white
764,white
765,white
766,white
767,white
768,black
769,white
770,black
771,white
772,white
773,white
774,white
775,white
776,white
777,white
779,white
780,white
781,white
782,black
783,white
784,white
785,white
786,white
787,white
788,white
789,white
791,white
792,white
793,white
794,black
795,white
796,black
797,white
798,white
801,white
802,white
803,black
804,white
805,white
806,white
807,white
809,white
810,white
811,white
812,white
813,white
815,white
816,white
817,black
818,white
819,white
820,black
821,white
822,black
823,white
824,white
826,white
829,white
830,white
831,white
832,white
834,white
836,white
838,white
839,white
840,white
841,white
842,white
844,white
845,white
847,white
848,white
849,white
850,white
851,white
852,white
854,white
855,white
856,white
857,white
858,white
860,white
861,white
864,black
865,white
866,white
867,white
868,white
869,white
870,black
871,white
872,white
873,white
874,white
875,white
876,black
877,white
878,white
879,white
880,white
881,white
882,white
883,white
884,white
885,white
886,white
887,white
888,white
889,white
890,white
891,white
892,white
894,black
896,white
897,white
898,white
899,white
900,white
901,white
902,white
903,white
904,white
905,white
906,white
907,white
908,white
909,white
910,white
911,black
912,white
913,white
914,black
915,black
916,white
917,black
919,white
920,white
921,white
922,white
923,white
924,white
925,white
926,white
927,white
928,white
929,black
930,white
932,white
933,white
935,white
937,white
938,white
939,white
940,white
941,white
942,white
943,white
944,white
945,black
946,black
948,black
949,white
951,white
952,white
953,black
954,black
955,white
956,black
957,white
958,white
959,black
960,white
961,black
962,black
963,white
964,white
965,white
966,white
967,white
968,white
969,white
970,white
971,black
972,white
973,white
974,black
975,black
976,black
977,white
978,white
979,white
980,black
981,black
982,white
983,white
984,white
985,white
986,white
987,white
988,black
989,white
991,white
992,white
993,white
994,white
995,white
996,white
997,black
998,white
999,black
1000,black
1001,white
1002,white
1004,white
1005,black
1006,white
1007,white
1008,black
1009,white
1010,white
1011,white
1012,white
1013,white
1016,white
1017,white
1018,white
1019,white
1020,white
1021,white
1022,white
1023,white
1024,white
1025,white
1026,white
1027,white
1028,white
1029,black
1030,white
1031,black
1032,white
1033,white
1034,white
1035,white
1037,white
1038,black
1039,white
1040,black
1041,black
1043,white
1045,white
1047,white
1048,white
1049,white
1050,white
1051,black
1054,black
1055,black
1056,white
1059,white
1060,white
1061,white
1062,white
1063,white
1064,white
1065,white
1066,white
1067,white
1068,white
1069,white
1070,black
1072,white
1073,white
1074,white
1075,white
1076,white
1077,white
1078,white
1079,white
1080,white
1081,black
1082,black
1083,white
1084,white
1085,white
1086,black
1088,black
1089,white
1090,white
1092,white
1093,white
1094,white
1095,white
1096,white
1098,white
1099,black
1100,white
1101,black
1102,white
1103,white
1105,white
1106,white
1107,white
1109,black
1110,black
1111,white
1112,black
1113,white
1115,white
1117,black
1118,white
1119,black
1120,black
1121,white
1122,white
1123,white
1124,white
1125,white
1126,white
1127,white
1128,white
1129,white
1130,white
1131,white
1132,black
1133,white
1134,white
1135,black
1136,white
1137,black
1138,black
1139,white
1140,white
1141,white
1142,black
1143,white
1144,white
1145,white
1146,white
1147,black
1148,white
1149,white
1150,white
1151,white
1152,black
1153,black
1154,white
1156,white
1157,white
1158,white
1159,white
1161,white
1162,black
1163,white
1165,white
1167,white
1168,white
1169,white
1171,white
1172,white
1173,white
1174,white
1175,black
1176,black
1177,white
1178,white
1179,white
1180,white
1181,white
1182,white
1183,white
1184,black
1185,black
1186,white
1187,white
1188,white
1189,white
1191,white
1192,black
1193,white
1194,white
1195,white
1196,white
1197,white
1198,white
1199,white
1200,white
1201,white
1202,white
1203,white
1204,white
1205,white
1206,white
1207,white
1208,white
1210,white
1211,white
1212,white
1213,white
1215,white
1216,white
1217,black
1218,white
1220,white
1221,white
1223,white
1224,white
1225,white
1227,black
1228,white
1229,white
1230,black
1231,white
1232,black
1234,black
1235,black
1236,white
1237,white
1238,white
1240,white
1241,white
1242,white
1243,white
1244,white
1245,white
1247,white
1248,white
1249,white
1250,white
1251,white
1252,white
1253,white
1254,white
1255,white
1256,black
1257,white
1258,white
1259,black
1260,white
1261,white
1262,white
1263,white
1264,white
1265,white
1266,white
1267,white
1268,white
1269,white
1270,black
1271,white
1272,white
1273,black
1275,white
1276,white
1277,white
1278,white
1279,black
1280,white
1281,white
1282,white
1283,black
1284,black
1285,black
1287,white
1288,white
1289,white
1290,white
1291,white
1292,white
1293,white
1294,white
1295,white
1296,white
1297,white
1298,white
1299,black
1301,white
1302,white
1303,white
1304,black
1305,white
1307,white
1308,black
1309,white
1310,white
1311,white
1312,black
1313,white
1314,white
1315,white
1316,white
1317,white
1318,white
1319,white
1321,white
1322,black
1323,black
1324,white
1325,white
1326,white
1327,white
1328,black
1329,white
1330,white
1331,white
1332,white
1333,black
1334,white
1335,white
1336,white
1337,white
1338,white
1339,white
1340,white
1342,white
1343,white
1344,white
1345,white
1346,white
1347,black
1348,white
1349,white
1350,white
1351,white
1353,white
1354,white
1355,white
1356,white
1358,white
1359,white
1360,white
1361,white
1362,white
1363,white
1364,white
1366,white
1367,white
1368,white
1369,white
1370,white
1371,white
1373,white
1374,white
1375,white
1376,white
1377,white
1378,white
1379,white
1380,white
1381,black
1382,white
1383,black
1384,black
1385,white
1386,black
1387,black
1388,white
1389,white
1390,white
1391,white
1392,white
1393,white
1394,white
1395,white
1396,white
1397,white
1398,white
1399,white
1400,white
1401,white
1402,black
1403,white
1404,white
1405,black
1406,white
1407,white
1409,white
1411,white
1412,black
1413,white
1414,white
1415,black
1416,white
1417,white
1418,white
1419,black
1420,white
1421,white
1422,white
1423,black
1424,white
1425,black
1427,black
1428,black
1429,black
1430,white
1431,white
1433,black
1434,white
1436,white
1437,white
1438,white
1439,white
1441,white
1442,white
1443,white
1445,white
1447,white
1448,white
1449,white
1450,black
1451,white
1452,white
1453,white
1454,white
1455,white
1456,white
1457,black
1458,black
1459,white
1460,white
1461,white
1462,white
1463,white
1464,white
1465,white
1466,white
1467,white
1468,black
1469,white
1470,white
1471,black
1472,white
1473,black
1474,white
1475,white
1477,white
